domain,ipv4,ipv6,cname,status,checked_at
Agency,,,,NXDOMAIN,2025-12-13T13:26:02+02:00
Ministry,,,,NXDOMAIN,2025-12-13T13:26:03+02:00
Statutory Body,,,,NXDOMAIN,2025-12-13T13:26:03+02:00
acc.gov.zm,165.56.48.28,,,OK,2025-12-13T13:26:04+02:00
ago.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:06+02:00
agriculture.gov.zm,41.72.108.146,,,OK,2025-12-13T13:26:06+02:00
boz.zm,4.222.18.41,,,OK,2025-12-13T13:26:07+02:00
brra.org.zm,102.23.122.251,,,OK,2025-12-13T13:26:07+02:00
businesslicenses.gov.zm,41.175.8.92,,,OK,2025-12-13T13:26:08+02:00
caa.co.zm,,,,NXDOMAIN,2025-12-13T13:26:09+02:00
cabinet.gov.zm,41.215.183.58,,,OK,2025-12-13T13:26:09+02:00
cbu.ac.zm,192.124.249.110,,,OK,2025-12-13T13:26:10+02:00
ccpc.org.zm,102.23.122.251,,,OK,2025-12-13T13:26:11+02:00
cdc.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:12+02:00
ceec.org.zm,104.21.6.56,2606:4700:3030::ac43:9af6,,OK,2025-12-13T13:26:13+02:00
cen.gov.zm,154.120.217.142,,,OK,2025-12-13T13:26:14+02:00
chalimbana.ac.zm,,,,NXDOMAIN,2025-12-13T13:26:15+02:00
chipatacouncil.gov.zm,165.56.40.99,,,OK,2025-12-13T13:26:16+02:00
chwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:26:17+02:00
citizensupport.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:18+02:00
constitutionalcourt.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:20+02:00
cop.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:21+02:00
daily-mail.co.zm,102.23.120.144,,,OK,2025-12-13T13:26:22+02:00
dbz.co.zm,,,,NXDOMAIN,2025-12-13T13:26:22+02:00
dec.gov.zm,165.56.3.174,,,OK,2025-12-13T13:26:23+02:00
deeds.gsb.gov.zm,165.56.40.86,,,OK,2025-12-13T13:26:23+02:00
dmmu-ovp.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:24+02:00
dnpw.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:27+02:00
eas.gov.zm,154.120.217.146,,,OK,2025-12-13T13:26:27+02:00
eiz.org.zm,102.23.122.251,,,OK,2025-12-13T13:26:28+02:00
elections.org.zm,104.21.51.93,2606:4700:3035::6815:335d,,OK,2025-12-13T13:26:28+02:00
energy.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:29+02:00
eprocure.zppa.org.zm,41.60.3.174,,,OK,2025-12-13T13:26:30+02:00
erb.org.zm,102.23.123.208,,,OK,2025-12-13T13:26:30+02:00
