domain,ipv4,ipv6,cname,status,checked_at,Reachability Classification,Hosting Classification,Domains on IP
acc.gov.zm,165.56.48.28,,,OK,2025-12-13T13:26:04+02:00,Public (IPv4),Direct / Shared Hosting,6
ago.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:06+02:00,No Public DNS / Internal / Legacy,Unknown,0
agriculture.gov.zm,41.72.108.146,,,OK,2025-12-13T13:26:06+02:00,Public (IPv4),Direct / Shared Hosting,1
boz.zm,4.222.18.41,,,OK,2025-12-13T13:26:07+02:00,Public (IPv4),Direct / Shared Hosting,2
brra.org.zm,102.23.122.251,,,OK,2025-12-13T13:26:07+02:00,Public (IPv4),Direct / Shared Hosting,9
businesslicenses.gov.zm,41.175.8.92,,,OK,2025-12-13T13:26:08+02:00,Public (IPv4),Direct / Shared Hosting,1
caa.co.zm,,,,NXDOMAIN,2025-12-13T13:26:09+02:00,No Public DNS / Internal / Legacy,Unknown,0
cabinet.gov.zm,41.215.183.58,,,OK,2025-12-13T13:26:09+02:00,Public (IPv4),Direct / Shared Hosting,7
cbu.ac.zm,192.124.249.110,,,OK,2025-12-13T13:26:10+02:00,Public (IPv4),Direct / Shared Hosting,2
ccpc.org.zm,102.23.122.251,,,OK,2025-12-13T13:26:11+02:00,Public (IPv4),Direct / Shared Hosting,9
cdc.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:12+02:00,No Public DNS / Internal / Legacy,Unknown,0
ceec.org.zm,104.21.6.56,2606:4700:3030::ac43:9af6,,OK,2025-12-13T13:26:13+02:00,Public (IPv4),Direct / Shared Hosting,1
cen.gov.zm,154.120.217.142,,,OK,2025-12-13T13:26:14+02:00,Public (IPv4),Direct / Shared Hosting,1
chalimbana.ac.zm,,,,NXDOMAIN,2025-12-13T13:26:15+02:00,No Public DNS / Internal / Legacy,Unknown,0
chipatacouncil.gov.zm,165.56.40.99,,,OK,2025-12-13T13:26:16+02:00,Public (IPv4),Direct / Shared Hosting,1
chwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:26:17+02:00,No Public DNS / Internal / Legacy,Unknown,0
citizensupport.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:18+02:00,No Public DNS / Internal / Legacy,Unknown,0
constitutionalcourt.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:20+02:00,No Public DNS / Internal / Legacy,Unknown,0
cop.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:21+02:00,No Public DNS / Internal / Legacy,Unknown,0
daily-mail.co.zm,102.23.120.144,,,OK,2025-12-13T13:26:22+02:00,Public (IPv4),Direct / Shared Hosting,2
dbz.co.zm,,,,NXDOMAIN,2025-12-13T13:26:22+02:00,No Public DNS / Internal / Legacy,Unknown,0
dec.gov.zm,165.56.3.174,,,OK,2025-12-13T13:26:23+02:00,Public (IPv4),Direct / Shared Hosting,1
deeds.gsb.gov.zm,165.56.40.86,,,OK,2025-12-13T13:26:23+02:00,Public (IPv4),Direct / Shared Hosting,4
dmmu-ovp.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:24+02:00,No Public DNS / Internal / Legacy,Unknown,0
dnpw.gov.zm,,,,NXDOMAIN,2025-12-13T13:26:27+02:00,No Public DNS / Internal / Legacy,Unknown,0
eas.gov.zm,154.120.217.146,,,OK,2025-12-13T13:26:27+02:00,Public (IPv4),Direct / Shared Hosting,1
eiz.org.zm,102.23.122.251,,,OK,2025-12-13T13:26:28+02:00,Public (IPv4),Direct / Shared Hosting,9
elections.org.zm,104.21.51.93,2606:4700:3035::6815:335d,,OK,2025-12-13T13:26:28+02:00,Public (IPv4),Direct / Shared Hosting,2
